Nome,Comandante,Cor,Custo,Tipo,Subtipo,Preco_USD,EDHREC_Rank,Deck
"Slinza, the Spiked Stampede",1,GR,5,Legendary Creature,Beast,1.27,13840,Auriflamado
Advocate of the Beast,0,G,3,Creature,Elf Shaman,0.1,20007,Auriflamado
Affectionate Indrik,0,G,6,Creature,Beast,0.02,18852,Auriflamado
"Anara, Wolvid Familiar",0,G,4,Legendary Creature,Wolf Beast,0.52,3660,Auriflamado
Arcane Signet,0,Incolor,2,Artifact,N/A,1.0,3,Auriflamado
Armored Scrapgorger,0,G,2,Creature,Phyrexian Beast,0.19,3487,Auriflamado
Battlefront Krushok,0,G,5,Creature,Beast,0.15,14664,Auriflamado
Beast Within,0,G,3,Instant,N/A,N/A,22,Auriflamado
Beastmaster Ascension,0,G,3,Enchantment,N/A,5.52,523,Auriflamado
Bloated Contaminator,0,G,3,Creature,Phyrexian Beast,1.51,2012,Auriflamado
Blossoming Bogbeast,0,G,5,Creature,Beast,5.72,3909,Auriflamado
Bonders' Enclave,0,Incolor,0,Land,N/A,0.57,572,Auriflamado
Bridgeworks Battle // Tanglespan Bridgeworks,0,G,3,Sorcery // Land,N/A,0.72,1398,Auriflamado
Caller of the Pack,0,G,7,Creature,Beast,1.01,10928,Auriflamado
Cinder Glade,0,GR,0,Land,Mountain Forest,N/A,87,Auriflamado
Command Tower,0,Incolor,0,Land,N/A,1.0,2,Auriflamado
Contested Cliffs,0,GR,0,Land,N/A,0.56,9335,Auriflamado
Crater Hellion,0,R,6,Creature,Hellion Beast,0.26,16038,Auriflamado
Edge of Autumn,0,G,2,Sorcery,N/A,0.25,4879,Auriflamado
Entish Restoration,0,G,3,Instant,N/A,1.9,438,Auriflamado
Explore,0,G,2,Sorcery,N/A,0.23,235,Auriflamado
Ezuri's Predation,0,G,8,Sorcery,N/A,1.87,1037,Auriflamado
Fangren Firstborn,0,G,4,Creature,Beast,2.94,13480,Auriflamado
Farseek,0,G,2,Sorcery,N/A,1.0,27,Auriflamado
Fires of Yavimaya,0,GR,3,Enchantment,N/A,0.92,2054,Auriflamado
Forest,0,G,0,Basic Land,Forest,N/A,N/A,Auriflamado
Fresh Meat,0,G,4,Instant,N/A,0.12,8981,Auriflamado
Game Trail,0,GR,0,Land,N/A,0.15,324,Auriflamado
Garruk's Harbinger,0,G,3,Creature,Beast,0.17,12118,Auriflamado
Garruk's Packleader,0,G,5,Creature,Beast,0.25,1956,Auriflamado
Garruk's Uprising,0,G,3,Enchantment,N/A,0.48,104,Auriflamado
Gnarlid Colony,0,G,2,Creature,Beast,0.03,7289,Auriflamado
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",0,G,3,Legendary Enchantment // Legendary Land,N/A,4.23,518,Auriflamado
Gruul Ragebeast,0,GR,7,Creature,Beast,0.4,7508,Auriflamado
Gruul Signet,0,GR,2,Artifact,N/A,0.4,531,Auriflamado
Gruul Turf,0,GR,0,Land,N/A,0.17,342,Auriflamado
Gruul War Chant,0,GR,4,Enchantment,N/A,0.26,6474,Auriflamado
Hardened Scales,0,G,1,Enchantment,N/A,2.15,243,Auriflamado
Hauntwoods Shrieker,0,G,3,Creature,Beast Mutant,1.73,7390,Auriflamado
Herald of Ilharg,0,GR,4,Creature,Boar Beast,3.22,12219,Auriflamado
Herd Baloth,0,G,5,Creature,Beast,0.34,3516,Auriflamado
Heroic Intervention,0,G,2,Instant,N/A,11.66,34,Auriflamado
Highland Forest,0,GR,0,Snow Land,Mountain Forest,2.23,2004,Auriflamado
